1,Bianca,Vasilescu,2650514299113,0719964764
2,Elena,Radu,2780422126697,0779987237
3,Cristian,Dumitru,1910312500555,0766027359
4,Irina,Costache,2921017092311,0730406149
5,Diana,Stan,2650728358479,0781351833
6,Ion,Stan,1870201212158,0719168867
7,Alexandra,Enache,2940601436990,0721851722
8,Roxana,Enache,2970116391111,0782600841
9,Roxana,Georgescu,2810307360182,0742702607
10,Alexandra,Barbu,6011112360707,0762563876
11,Roxana,Enache,2910308489857,0737644570
12,Ioana,Ionescu,2801008190534,0759692354
13,Rares,Enache,1761112453765,0789125053
14,Irina,Marin,2640802192791,0798509530
15,Vlad,Barbu,1840821194241,0722603248
16,Dan,Marin,1970919266388,0761628287
17,Stefan,Popescu,1750605187076,0757355391
18,Roxana,Enache,2970806494478,0707868244
19,Florin,Costache,1690817183663,0759544930
20,Maria,Ionescu,2980507351778,0738934165
21,Roxana,Barbu,2881126462024,0739570732
22,Florin,Enache,1760507479973,0744878182
23,Alexandra,Marin,2860811080781,0795453715
24,Roxana,Ionescu,2780612496300,0709407660
25,George,Petrescu,1910123466994,0790428444
26,Elena,Costache,2900511098809,0770338996
27,Stefan,Costache,1921225416312,0750316940
28,Andreea,Ionescu,2690728291342,0715561679
29,Andrei,Vasilescu,1820322248595,0759283478
30,Ion,Stan,1660117350171,0758995330
31,Mihai,Marin,5011025196661,0761066554
32,Bianca,Stan,6040922519827,0770897248
33,Elena,Vasilescu,2601023145785,0785269104
34,George,Ionescu,1690213191584,0795723229
35,Alexandra,Popescu,2931113055528,0728188190
36,Rares,Georgescu,1960522128365,0739881803
37,Roxana,Petrescu,6030524292231,0788743387
38,Vlad,Costache,1790819196254,0794371080
39,Elena,Popescu,2800124323477,0781030603
40,Bianca,Radu,2920415255110,0764853718
41,Andrei,Radu,5020712088777,0792561247
42,Elena,Popescu,2941118351931,0744384306
43,George,Popescu,5050921274081,0799505151
44,Roxana,Vasilescu,2760108209131,0754033041
45,Florin,Georgescu,1730106409938,0733754364
46,Mihai,Popescu,1730301441813,0757468319
47,Mihai,Stan,1730619362880,0700554372
48,Bianca,Vasilescu,2761109334480,0707557758
49,Bianca,Radu,2840402471586,0720910173
50,Maria,Costache,2970425128765,0786972550
51,George,Marin,1980210030181,0705293358
52,Florin,Barbu,1610720272586,0798036249
53,Ioana,Marin,2611014324580,0713540096
54,George,Costache,1881122497807,0785157784
55,Stefan,Costache,1910216427192,0720943096
56,Rares,Georgescu,1751026350532,0729955394
57,Florin,Georgescu,5030422184734,0793819584
58,Rares,Stan,1680520217768,0725198581
59,Andrei,Georgescu,1621027151731,0721221035
60,Cristian,Ionescu,1801206510761,0712325486
61,Ioana,Petrescu,2620715443436,0741789937
62,Vlad,Ionescu,1860116502161,0792471681
